domain,path,n,completeness_pct,harmful_expansion_pct,combined_success_pct,mean_neural_calls,mean_graph_targets,mean_context_items,mean_runtime_ms
all,P0,120,26.67,40.83,17.5,0.0,0.0,0.0,0.01
all,P1,120,34.17,50.0,19.17,1.0,0.0,0.0,1546.37
all,P2,120,55.0,42.5,33.33,0.0,0.0,9.025,19.73
all,P3,120,28.33,40.83,18.33,0.0,0.067,0.0,1.12
all,P4,120,61.67,51.67,32.5,1.0,0.0,8.758,15.12
all,P5,120,63.33,51.67,33.33,1.0,0.083,8.758,15.07
chemical,P0,60,30.0,51.67,16.67,0.0,0.0,0.0,0.0
chemical,P1,60,43.33,66.67,18.33,1.0,0.0,0.0,1449.6
chemical,P2,60,45.0,51.67,21.67,0.0,0.0,9.55,39.43
chemical,P3,60,33.33,51.67,18.33,0.0,0.133,0.0,2.25
chemical,P4,60,55.0,66.67,20.0,1.0,0.0,9.35,30.23
chemical,P5,60,58.33,66.67,21.67,1.0,0.167,9.35,30.1
pharmaceutical,P0,60,23.33,30.0,18.33,0.0,0.0,0.0,0.02
pharmaceutical,P1,60,25.0,33.33,20.0,1.0,0.0,0.0,1643.13
pharmaceutical,P2,60,65.0,33.33,45.0,0.0,0.0,8.5,0.03
pharmaceutical,P3,60,23.33,30.0,18.33,0.0,0.0,0.0,0.0
pharmaceutical,P4,60,68.33,36.67,45.0,1.0,0.0,8.167,0.0
pharmaceutical,P5,60,68.33,36.67,45.0,1.0,0.0,8.167,0.03
